,Title,Published_date,Views,Likes,Favourites,Comments,Month
156,Why Focusing On Transaction Taxes Can Be Beneficial - Nikhil Kamath #shorts,2024-12-31,18991,846,0,14,Dec
157,Is Homosexuality Common Among Prisoners? ft. Dr.Jo Clarke #shorts,2024-12-31,90469,1880,0,23,Dec
158,Arjun Rampal Discusses His Life In Goa #shorts,2024-12-30,49104,2262,0,9,Dec
159,Shayamal Vallabhjee Opens Up About Jasprit Bumrah Facing Trolling #shorts,2024-12-30,71214,2580,0,4,Dec
160,"Walking into 2025 with gratitude, growth, and lessons learned #shorts",2024-12-30,440346,20129,0,96,Dec
161,Why Being In A Prison Isn't Easy - Dr. Jo Clarke #shorts,2024-12-30,13779,486,0,3,Dec
162,Dr. Jo Clarke Opens Up About the Dangers She Faced in Prison With Criminals #shorts,2024-12-30,175611,6574,0,9,Dec
163,Dr. Jo Clarke Discusses The Mindset Of Mu*derers While Committing Mu*ders #shorts,2024-12-30,38865,1176,0,7,Dec
164,Dr. Jo Clarke Shares A Disturbing Story From Her Pregnancy At The Unit #shorts,2024-12-29,57558,2021,0,3,Dec
165,The REAL Mentality Of Mu*derers - Dr. Jo Clarke #shorts,2024-12-29,31653,1100,0,2,Dec
166,Do Serial Killers Also Go Through Trauma In Their Childhood? ft. Dr. Jo Clarke #shorts,2024-12-29,20397,755,0,2,Dec
167,The Pros And Cons Of Being A Criminal Psychologist - Dr. Jo Clarke #shorts,2024-12-29,38734,1539,0,9,Dec
168,Why Are People Obsessed With The Subject Of Crime? REVEALED - Dr. Jo Clarke #shorts,2024-12-29,7461,259,0,0,Dec
169,Are There Some Prisoners Who Are Happy To Be In Prison? ft. Dr. Jo Clarke #shorts,2024-12-29,13134,472,0,2,Dec
170,The REAL Mindset Of Offenders After Committing A Crime - Dr. Jo. Clarke #shorts,2024-12-29,7507,231,0,0,Dec
171,What EXACTLY Goes On In The Minds Of Prisoners? ft. Dr. Jo Clarke #shorts,2024-12-29,7251,271,0,1,Dec
172,Dr. Jo Clarke OPENS UP About Four Types Of Men Who Committed S*xual Mu*der #shorts,2024-12-29,19984,710,0,4,Dec
173,Who TRULY Was Jack The Ripper? ft. Dr. Jo Clarke #shorts,2024-12-29,10884,488,0,2,Dec
174,Do Criminals Fall In Love? ft. Dr. Jo Clarke #shorts,2024-12-29,73424,2466,0,5,Dec
175,What Is A Psychopathic Person Like? ft. Dr. Jo Clarke #shorts,2024-12-29,29751,1098,0,12,Dec
176,Debunking Common Myths About S*x and Bodybuilding - Ronnie Coleman #shorts,2024-12-29,12663,391,0,7,Dec
177,How Alcohol Affects Women Differently? ft. Dr. Abby Philips #shorts,2024-12-29,42431,1190,0,14,Dec
178,Naval Ravikant SHARES What He Likes About Hinduism #shorts,2024-12-29,8090,432,0,5,Dec
179,Naval Ravikant Talks About Love ❤️ #shorts,2024-12-29,12652,714,0,4,Dec
180,Can You Start Sadhana While Having Alcohol & Non-Veg? ft. Bhavesh Bhimanathani #shorts,2024-12-28,15096,712,0,8,Dec
181,Things To Keep In Mind Before Starting Bhairava Sadhana - Bhavesh Bhimanathani #shorts,2024-12-28,31377,2271,0,14,Dec
182,The Story Of When Shri Ram Left Ayodhya - Yashodeep Deodhar #shorts,2024-12-28,10144,612,0,3,Dec
183,What EXACTLY Does 'Sita' Mean? ft. Yashodeep Deodhar #shorts,2024-12-28,46759,2013,0,13,Dec
184,The Truth Behind Ravana’s 10 Heads REVEALED - Yashodeep Deodhar #shorts,2024-12-28,20618,886,0,4,Dec
185,Values To Learn From Ramayana - Yashodeep Deodhar #shorts,2024-12-28,19631,1715,0,2,Dec
186,THE REALITY Of How Energies Intensify At Manikarnika Ghat - Bhavesh Bhimanathani #shorts,2024-12-28,129059,4799,0,14,Dec
187,Bhavesh Bhimanathani OPENS UP About His Paranormal Experience With An  Aghori #shorts,2024-12-28,9781,491,0,0,Dec
188,Dr. Anand Ranganathan SHARES How Dr. Manmohan Singh Was A Rare Entity #shorts,2024-12-27,14466,1054,0,4,Dec
189,Dr. Raghuram Rajan OPENS UP about Dr. Manmohan Singh #shorts,2024-12-27,63301,1690,0,30,Dec
190,Ranveer Shares His Experience On Meeting With Salman Khan #shorts,2024-12-27,29698,1414,0,7,Dec
191,Milind Deora Opens Up About Manmohan Singh #shorts,2024-12-27,15244,865,0,11,Dec
192,Never Give Up - Chiyaan Vikram #shorts,2024-12-27,20009,1406,0,4,Dec
193,"""I Can Do All Things Through Christ Who Strengthens Me"" (Philippians 4:13)    #shorts",2024-12-25,17656,583,0,5,Dec
194,What EXACTLY Are The 9 Gifts Of Christianity? ft. Salvador Furtado #shorts,2024-12-25,24117,747,0,5,Dec
195,What Is The Golden Rule As Mentioned By Jesus Christ? ft. Robert Svoboda #shorts,2024-12-25,19942,907,0,14,Dec
196,@Mrwhosetheboss Shares About What Makes A Relationship Truly Beautiful #shorts,2024-12-24,22026,940,0,6,Dec
197,@Mrwhosetheboss Opens Up About Wanting Kids In The Future #shorts,2024-12-24,22092,709,0,8,Dec
198,What Is @Mrwhosetheboss Most Curious About Regarding Other YouTubers? #shorts,2024-12-24,15738,609,0,2,Dec
199,What Phone Does @Mrwhosetheboss Use? #shorts,2024-12-24,1968228,124414,0,554,Dec
200,What Is The Most Used App Of @Mrwhosetheboss? #shorts,2024-12-24,25757,916,0,4,Dec
201,@Mrwhosetheboss Talks About Dealing With Burnout As A Content Creator #shorts,2024-12-24,11516,498,0,4,Dec
202,What Is The END GOAL Of @Mrwhosetheboss? #shorts,2024-12-24,17714,649,0,2,Dec
203,How Much Do Short-Form Content Creators In India Earn? ft. @Mrwhosetheboss #shorts,2024-12-24,41776,1696,0,4,Dec
